SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,INGLES_FALA,INGLES_COMPREENSAO,INGLES_ESCRITA,INGLES_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,ANO_INGRESSO,APROVADO,IDADE_INGRESSO
0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,10.0,0.0,648,2016,1.0,21.0
0,0.0,0.0,2014,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2016,0.0,18.0
0,0.0,7.0,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2016,0.0,18.0
0,0.0,1.0,2014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,70.0,648,2016,0.0,18.0
0,0.0,1.0,2012,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2016,0.0,22.0
0,0.0,7.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.3,8.0,648,2015,0.0,18.0
0,0.0,7.0,2009,10.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,648,2015,1.0,18.0
0,0.0,1.0,2014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.0,648,2015,0.0,19.0
0,0.0,1.0,2014,10.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,70.0,648,2015,0.0,18.0
0,0.0,0.0,2011,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.6,8.0,648,2015,1.0,22.0
0,0.0,1.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2015,0.0,18.0
0,0.0,1.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.7,12.0,648,2015,0.0,18.0
0,0.0,7.0,2007,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,70.0,648,2015,0.0,21.0
0,0.0,0.0,2015,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2015,0.0,18.0
0,0.0,7.0,2007,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,70.0,648,2015,0.0,21.0
0,0.0,0.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,8.8,4.0,648,2015,1.0,18.0
0,4.0,0.0,2014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,10.0,648,2015,1.0,18.0
1,4.0,1.0,2013,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,648,2015,0.0,19.0
0,0.0,0.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,70.0,648,2015,0.0,19.0
0,0.0,0.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,648,2015,1.0,18.0
0,0.0,0.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,648,2015,0.0,19.0
0,0.0,0.0,2014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,648,2015,1.0,18.0
