SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,INGLES_FALA,INGLES_COMPREENSAO,INGLES_ESCRITA,INGLES_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,ANO_INGRESSO,APROVADO,IDADE_INGRESSO
1,3.0,1.0,2012,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,8028,2013,0.0,18.0
0,2.0,1.0,2009,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.5,12.0,8028,2013,1.0,22.0
0,0.0,1.0,2007,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.5,0.0,8028,2013,1.0,23.0
0,0.0,1.0,2011,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.8,0.0,8028,2013,1.0,19.0
0,4.0,0.0,2012,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,8.8,0.0,8028,2013,1.0,18.0
0,3.0,1.0,2013,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,9.4,0.0,8028,2016,1.0,20.0
0,3.0,1.0,2007,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,8028,2014,1.0,24.0
0,0.0,0.0,2012,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8028,2013,1.0,18.0
1,0.0,1.0,2007,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8028,2013,0.0,24.0
1,0.0,0.0,2012,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,8028,2013,0.0,18.0
0,3.0,2.0,2013,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,6.0,8028,2013,1.0,19.0
1,0.0,1.0,2012,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,8028,2013,0.0,18.0
1,0.0,1.0,1999,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.3,4.0,8028,2013,1.0,30.0
0,0.0,2.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,4.0,8028,2014,1.0,19.0
1,0.0,0.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8028,2014,0.0,18.0
0,3.0,0.0,1998,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.8,0.0,8028,2013,1.0,33.0
0,0.0,2.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,8028,2013,1.0,19.0
0,0.0,1.0,2012,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,8028,2013,1.0,19.0
1,0.0,0.0,1988,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,54.0,8028,2013,0.0,44.0
0,2.0,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8028,2014,0.0,21.0
1,0.0,1.0,2006,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.0,8028,2013,1.0,36.0
0,0.0,1.0,2006,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,2.0,8028,2013,1.0,23.0
1,0.0,1.0,2009,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.0,8028,2013,1.0,23.0
0,0.0,0.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.5,2.0,8028,2014,1.0,18.0
0,0.0,1.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.0,8028,2014,1.0,18.0
0,0.0,1.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,6.0,8028,2014,1.0,18.0
0,3.0,1.0,2013,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,8.6,8.0,8028,2014,1.0,18.0
1,5.0,0.0,2012,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,8.5,4.0,8028,2014,1.0,18.0
0,0.0,1.0,2012,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.0,8028,2014,1.0,19.0
0,2.0,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8028,2014,0.0,21.0
1,3.0,0.0,1997,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8028,2014,0.0,39.0
0,0.0,1.0,2012,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,8.0,8.0,8028,2014,1.0,19.0
0,0.0,3.0,2013,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,6.6,4.0,8028,2014,1.0,18.0
0,0.0,3.0,2010,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8028,2014,1.0,21.0
0,0.0,0.0,2008,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.8,4.0,8028,2014,1.0,24.0
1,0.0,0.0,2011,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8028,2014,0.0,20.0
0,0.0,0.0,2007,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8028,2014,0.0,24.0
0,3.0,0.0,2004,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8028,2014,1.0,27.0
