COD_DISCIPLINA,DISCIPLINA
8028,Língua Portuguesa
8514,Cálculo Diferencial e Integral I
15327,Probabilidade e Estatística
16507,Metodologia de Pesquisa
16604,Sistemas Operacionais
17037,Inteligência Artificial
17063,Pesquisa Operacional
19403,Algoritmos e Técnicas de Programação
19404,Lógica Computacional
19405,Fundamentos de Sistemas de Informação
19406,Tecnologia e Sociedade
20175,Matemática Discreta
20177,Arquitetura e Organização de Computadores
20178,Língua Estrangeira - Inglês
20179,Teoria Geral da Administração
20657,Estrutura de Dados II
20658,Engenharia de Requisitos
20659,Programação Orientada a Objetos I
20660,Teoria da Computação
21636,Programação Orientada a Objetos II
21638,Ética e Legislação na Informática
21640,Banco de Dados I
21641,Análise de Sistemas de Informação
22579,Lógica Computacional
22580,Estrutura de Dados I
22581,Arquitetura e Organização de Computadores
22609,Contabilidade Básica
22611,Programação Orientada a Objeto I
22612,Banco de Dados II
22613,Redes de Computadores
22614,Interface Homem-máquina
22615,Engenharia de Software
22616,Sistemas Distribuídos
22617,Projeto de Sistemas de Informação
22618,Programação para Internet
22619,Gestão do Conhecimento
22620,Tópicos Avançados em Computação
22621,Qualidade e Teste de Software
22622,Manutenção de Software
22623,Gestão de Tecnologia da Informação
22624,Gerência de Projetos de Software
22625,Auditoria e Segurança de Sistemas de Informação
22626,Trabalho de Conclusão de Curso I
22630,Empreendedorismo
24711,Tópicos Especiais em Engenharia de Software
24944,Teste de Software em Android
